seed,maqam,n,mean_dic,median_dic,wilcox_W,wilcox_p,mw_U,mw_p,mw_d,kw_H,kw_p
1,Uşşak,88,0.030551901083188473,0.01586426546472186,1214.0,0.0019636440378982666,9076.0,0.02280246143885469,0.3457341417983703,8.653972399812801,0.013207291706416257
1,Hüseyni,88,0.0698436698684179,0.034401836410860254,771.0,7.855012838610562e-07,9076.0,0.02280246143885469,0.3457341417983703,8.653972399812801,0.013207291706416257
1,Nihâvend,88,0.017956422869364896,0.005384356849571836,1476.0,0.044906158605242094,9076.0,0.02280246143885469,0.3457341417983703,8.653972399812801,0.013207291706416257
2,Uşşak,88,0.03503693916095705,0.01586426546472186,1145.0,0.0007175722952040969,8707.0,0.09980986223147864,0.2684357400695787,5.498195072508906,0.06398557982433954
2,Hüseyni,88,0.0698436698684179,0.034401836410860254,771.0,7.855012838610562e-07,8707.0,0.09980986223147864,0.2684357400695787,5.498195072508906,0.06398557982433954
2,Nihâvend,88,0.02683530971008721,0.005826839148438068,1250.0,0.003220312786620499,8707.0,0.09980986223147864,0.2684357400695787,5.498195072508906,0.06398557982433954
3,Uşşak,88,0.03891777156721164,0.02063648641655047,958.0,3.170574627792573e-05,9059.0,0.024597881870874968,0.3256599498666815,6.128251208482766,0.046694653626136486
3,Hüseyni,88,0.0698436698684179,0.034401836410860254,771.0,7.855012838610562e-07,9059.0,0.024597881870874968,0.3256599498666815,6.128251208482766,0.046694653626136486
3,Nihâvend,88,0.023668370158182864,0.005524807767918971,1321.0,0.008038104509910703,9059.0,0.024597881870874968,0.3256599498666815,6.128251208482766,0.046694653626136486
4,Uşşak,88,0.03914922566337456,0.01987425184390068,1030.0,0.00011279730434036061,9155.0,0.015873547522788755,0.34460933054417586,7.250198814907208,0.026646448349115153
4,Hüseyni,88,0.0698436698684179,0.034401836410860254,771.0,7.855012838610562e-07,9155.0,0.015873547522788755,0.34460933054417586,7.250198814907208,0.026646448349115153
4,Nihâvend,88,0.02183457067419363,0.005523510895446115,1387.0,0.017508646564149126,9155.0,0.015873547522788755,0.34460933054417586,7.250198814907208,0.026646448349115153
5,Uşşak,88,0.0413096756583163,0.0226882606646599,942.0,2.3637638073221925e-05,8936.0,0.041615723263521545,0.2864567107764197,4.92621627943231,0.08516981944941494
5,Hüseyni,88,0.0698436698684179,0.034401836410860254,771.0,7.855012838610562e-07,8936.0,0.041615723263521545,0.2864567107764197,4.92621627943231,0.08516981944941494
5,Nihâvend,88,0.028117463328333384,0.00682555733793111,1291.0,0.005515238386011404,8936.0,0.041615723263521545,0.2864567107764197,4.92621627943231,0.08516981944941494
